2024-03-17 16:09:41.252 INFO  (qtp1331270134-46-null-29) [c: s: r: x:restaurants t:null-29] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-03-17 16:09:41.253 INFO  (qtp1331270134-46-null-29) [c: s: r: x:restaurants t:null-29] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-03-17 16:09:41.257 INFO  (qtp1331270134-46-null-29) [c: s: r: x:restaurants t:null-29] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/restaurants/conf
2024-03-17 16:09:41.258 INFO  (qtp1331270134-46-null-29) [c: s: r: x:restaurants t:null-29] o.a.s.s.DirectSolrSpellChecker init: {name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, accuracy=0.5, maxQueryFrequency=0.01}
2024-03-17 16:09:41.258 INFO  (qtp1331270134-46-null-29) [c: s: r: x:restaurants t:null-29] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-03-17 16:09:41.259 INFO  (searcherExecutor-29-thread-1-processing-restaurants null-29) [c: s: r: x:restaurants t:null-29] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-17 16:09:41.259 INFO  (searcherExecutor-29-thread-1-processing-restaurants null-29) [c: s: r: x:restaurants t:null-29] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-03-17 16:09:41.262 INFO  (qtp1331270134-46-null-29) [c: s: r: x:restaurants t:null-29] o.a.s.u.DefaultSolrCoreState New IndexWriter is ready to be used.
2024-03-17 16:09:41.265 INFO  (searcherExecutor-29-thread-1-processing-restaurants null-29) [c: s: r: x:restaurants t:null-29] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-17 16:09:41.266 INFO  (qtp1331270134-46-null-29) [c: s: r: x: t:null-29] o.a.s.c.S.Request webapp=/solr path=/schema params={wt=json&_=1710691739133} status=0 QTime=479
2024-03-17 16:09:41.267 INFO  (searcherExecutor-29-thread-1-processing-restaurants null-29) [c: s: r: x:restaurants t:null-29] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-17 16:09:41.267 INFO  (qtp1331270134-46-null-29) [c: s: r: x: t:null-29] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@7ad82279 restaurants
2024-03-17 16:09:41.267 INFO  (qtp1331270134-46-null-29) [c: s: r: x: t:null-29] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.restaurants tag=SolrCore@7ad82279
2024-03-17 16:09:41.271 INFO  (searcherExecutor-29-thread-1-processing-restaurants null-29) [c: s: r: x:restaurants t:null-29] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-17 16:09:42.872 INFO  (qtp1331270134-26-null-31) [c: s: r: x:restaurants t:null-31] o.a.s.c.S.Request webapp=/solr path=/config params={wt=json&_=1710691739133} status=0 QTime=6
2024-03-17 16:09:42.883 INFO  (qtp1331270134-20-null-30) [c: s: r: x:restaurants t:null-30] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={show=schema&wt=json&_=1710691737300} status=0 QTime=27
2024-03-17 16:09:42.894 INFO  (qtp1331270134-46-null-32) [c: s: r: x:restaurants t:null-32] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&wt=json&_=1710691737300} status=0 QTime=0
